symbol,entry_date,exit_date,entry_price,exit_price,type,pnl,reason,equity_after
MOEX,2019-02-04 10:00:00,2019-02-05 08:00:00,93.45037634896016,92.14791478646825,SHORT,0.01393746727812302,TRAIL,1000.4642645903357
ALRS,2019-02-04 10:00:00,2019-02-05 07:00:00,98.84278100831992,98.0440476623596,SHORT,0.008080846550574927,TRAIL,999.8837580337834
CHMF,2019-02-05 07:00:00,2019-02-05 08:00:00,1028.406547682548,1037.0,LONG,0.008356084796247889,SMART_CUT,1000.4642645903357
GAZP,2019-02-05 08:00:00,2019-02-07 07:00:00,164.42223536810758,163.23763500957844,SHORT,0.0072046238507648425,TRAIL,954.6979299360994
NVTK,2019-02-05 10:00:00,2019-02-06 11:00:00,1138.8962866464065,1132.4,LONG,-0.0057040195165929675,SMART_CUT,955.3822090839494
CHMF,2019-02-05 10:00:00,2019-02-05 13:00:00,1036.5183896474418,1025.7557681938515,SHORT,0.010383435123858335,TRAIL,1001.7722840450378
SNGS,2019-02-05 12:00:00,2019-02-06 09:00:00,27.464057956424266,27.355,SHORT,0.003970933814562375,TRAIL,954.8286880963758
ROSN,2019-02-05 13:00:00,2019-02-07 07:00:00,428.9091697557169,421.6466329681533,SHORT,0.016932575238948453,TRAIL,954.6979299360994
LKOH,2019-02-06 07:00:00,2019-02-08 08:00:00,5441.930821532679,5367.0,SHORT,0.013769160981648687,TRAIL,957.9172834448814
SNGS,2019-02-06 11:00:00,2019-02-07 10:00:00,27.37,27.165,SHORT,0.007489952502740294,TRAIL,956.0520962364823
SNGSP,2019-02-06 13:00:00,2019-02-07 15:00:00,40.88066922346957,40.65,SHORT,0.005642501158888607,SL,956.8273510174016
GMKN,2019-02-07 07:00:00,2019-02-07 15:00:00,136.86892376037778,136.08,SHORT,0.005764082442548992,TRAIL,956.8273510174016
TATN,2019-02-07 08:00:00,2019-02-08 12:00:00,804.5819997288696,794.7,SHORT,0.012282153630331822,SL,959.0723689552724
CNYRUB_TOM,2019-02-07 10:00:00,2019-02-08 20:00:00,9.748282188561149,9.699,SHORT,0.005055474144868063,TRAIL,960.5726573971368
NVTK,2019-02-07 13:00:00,2019-02-11 15:00:00,1131.572529157104,1115.8318469082676,SHORT,0.013910449258220816,TRAIL,965.4720309232388
SNGS,2019-02-07 15:00:00,2019-02-11 07:00:00,27.07249373299899,26.814339230981535,SHORT,0.009535675012560326,TRAIL,961.548174579026
SNGSP,2019-02-08 07:00:00,2019-02-08 14:00:00,40.716970653990295,40.51,SHORT,0.005083154533993147,SMART_CUT,959.9758543719496
NLMK,2019-02-08 08:00:00,2019-02-11 07:00:00,158.97408937365418,156.90725040701145,SHORT,0.013001105870685738,TRAIL,961.548174579026
MOEX,2019-02-08 08:00:00,2019-02-12 11:00:00,91.07861643065358,90.01,SHORT,0.011732901448576702,TRAIL,967.5651359552475
SBER,2019-02-08 10:00:00,2019-02-11 08:00:00,210.36937147092456,212.85068727987897,LONG,0.011795043126310582,TRAIL,963.3176098692634
LKOH,2019-02-08 11:00:00,2019-02-11 08:00:00,5352.069679827401,5402.5,LONG,0.00942258288651899,TRAIL,963.3176098692634
CHMF,2019-02-11 06:00:00,2019-02-11 10:00:00,1021.0,1030.9210326735686,LONG,0.00971697617391632,TRAIL,964.4403684111718
ALRS,2019-02-11 07:00:00,2019-02-12 09:00:00,99.87683645794378,98.97,SHORT,0.009079547271460025,TRAIL,966.5018799017074
CNYRUB_TOM,2019-02-11 08:00:00,2019-02-11 11:00:00,9.68,9.6615,SHORT,0.0019111570247933385,SMART_CUT,965.2382742282908
PLZL,2019-02-11 12:00:00,2019-02-13 06:00:00,538.1580534072882,530.6,SHORT,0.014044300479078972,TRAIL,968.1960090806899
TATN,2019-02-11 13:00:00,2019-02-12 09:00:00,783.1247367859576,778.0,SHORT,0.006543959787287694,SL,966.5018799017074
MGNT,2019-02-12 06:00:00,2019-02-13 11:00:00,4048.0,3991.5,SHORT,0.013957509881422924,TRAIL,923.1693732912308
SBER,2019-02-12 10:00:00,2019-02-13 08:00:00,216.4557074110633,219.96,LONG,0.016189421063783016,TRAIL,921.9837236190067
SNGSP,2019-02-12 12:00:00,2019-02-13 11:00:00,40.53717888287361,40.149366311719184,SHORT,0.00956683671241544,TRAIL,923.1693732912308
SNGS,2019-02-12 13:00:00,2019-02-13 09:00:00,26.82999247959879,26.50482939167953,SHORT,0.012119387963545322,TRAIL,923.0736270821435
GMKN,2019-02-12 13:00:00,2019-02-13 06:00:00,137.46543400536947,137.98,LONG,0.003743239152108716,SMART_CUT,968.1960090806899
CHMF,2019-02-13 08:00:00,2019-02-13 10:00:00,1027.9982185272152,1017.8769934709754,LONG,-0.009845566727479474,SL,924.2834377143747
PLZL,2019-02-13 10:00:00,2019-02-14 08:00:00,527.4,522.6,SHORT,0.00910125142207045,TRAIL,929.8512694588765
GMKN,2019-02-13 11:00:00,2019-02-13 13:00:00,137.08601858321293,136.48,SHORT,0.004420717659438644,TRAIL,924.992548567121
ROSN,2019-02-13 12:00:00,2019-02-14 07:00:00,405.3977171671345,396.6518053825096,SHORT,0.02157365819852203,TRAIL,925.4020516569385
TATN,2019-02-13 12:00:00,2019-02-14 07:00:00,769.7163073586087,759.9599025132648,SHORT,0.012675325638902491,TRAIL,925.4020516569385
CHMF,2019-02-13 12:00:00,2019-02-14 07:00:00,1024.157953135272,1006.6987542926021,SHORT,0.017047369294181425,TRAIL,925.4020516569385
NVTK,2019-02-13 13:00:00,2019-02-14 07:00:00,1098.4682141714136,1084.4,SHORT,0.01280711994204157,TRAIL,925.4020516569385
MGNT,2019-02-13 13:00:00,2019-02-14 07:00:00,4037.0341839342163,3975.5245041219655,SHORT,0.015236353473803817,TRAIL,925.4020516569385
CNYRUB_TOM,2019-02-13 15:00:00,2019-02-14 09:00:00,9.7,9.8444,LONG,0.014886597938144432,TRAIL,929.17403894459
GLDRUB_TOM,2019-02-14 07:00:00,2019-02-14 08:00:00,2793.5,2805.05,SHORT,-0.004134598174333339,SMART_CUT,929.8512694588765
GMKN,2019-02-14 07:00:00,2019-02-14 08:00:00,135.58288512276158,136.64053563036865,SHORT,-0.007800767085384192,SL,929.8512694588765
LKOH,2019-02-14 08:00:00,2019-02-15 08:00:00,5355.2947207184025,5427.5266469415665,SHORT,-0.013487946040339352,SL,932.8878299530015
SBER,2019-02-14 08:00:00,2019-02-14 14:00:00,208.38725675813592,204.42171330734828,SHORT,0.01902968306449867,TRAIL,930.6966318630073
MGNT,2019-02-14 10:00:00,2019-02-15 07:00:00,3984.6796934724975,3917.0670698948957,SHORT,0.016968145190781957,TRAIL,932.1577691673014
NVTK,2019-02-14 11:00:00,2019-02-14 14:00:00,1089.3096594040444,1068.1433778905814,SHORT,0.01943091326762213,SL,930.6966318630073
TATN,2019-02-14 13:00:00,2019-02-18 06:00:00,769.3774959108999,786.2,LONG,0.021865084667160955,TRAIL,932.8087491523295
CNYRUB_TOM,2019-02-14 14:00:00,2019-02-15 08:00:00,9.8725,9.824163459129876,SHORT,0.00489607909547983,TRAIL,932.8878299530015
PLZL,2019-02-15 09:00:00,2019-02-15 14:00:00,533.4044653937149,538.6936992215751,LONG,0.009915990905618255,TRAIL,932.4845488930191
SBER,2019-02-15 10:00:00,2019-02-18 10:00:00,208.1198295375725,204.3362628647388,SHORT,0.018179750969624167,TRAIL,934.6096491496397
CNYRUB_TOM,2019-02-15 15:00:00,2019-02-18 08:00:00,9.822992249053257,9.782168878672067,SHORT,0.004155899683736876,TRAIL,933.921794210045
NLMK,2019-02-18 07:00:00,2019-02-18 10:00:00,157.37305825643924,155.69090574625315,SHORT,0.010688948469470676,TRAIL,934.6096491496397
NLMK,2019-02-18 12:00:00,2019-02-19 13:00:00,155.38826899212296,153.88,SHORT,0.00970645340157192,TRAIL,984.9303024106189
GAZP,2019-02-19 07:00:00,2019-02-19 12:00:00,156.57128329733024,154.50787458021696,SHORT,0.013178717537844057,TRAIL,984.1419725348062
LKOH,2019-02-19 07:00:00,2019-02-19 14:00:00,5487.336617175106,5443.536468694026,SHORT,0.007982041477825108,TRAIL,985.5619483749066
GMKN,2019-02-19 08:00:00,2019-02-19 11:00:00,136.30087302433972,137.7,LONG,0.010264989098128662,TRAIL,983.2083590197257
MGNT,2019-02-19 08:00:00,2019-02-19 15:00:00,3913.1440054580385,3894.5,SHORT,0.004764456772363572,TRAIL,985.9287506401275
TATN,2019-02-19 10:00:00,2019-02-20 08:00:00,774.0847337858078,784.8187774559232,LONG,0.013866755410119674,TRAIL,985.6201571426905
CNYRUB_TOM,2019-02-19 14:00:00,2019-02-20 07:00:00,9.781085462402423,9.7896,SHORT,-0.0008705105001184293,TRAIL,986.1846063455124
NLMK,2019-02-20 07:00:00,2019-02-20 08:00:00,154.3995334062253,156.07356301760333,SHORT,-0.010842193460349862,SL,985.6201571426905
CNYRUB_TOM,2019-02-20 09:00:00,2019-02-21 10:00:00,9.7897,9.756,SHORT,0.003442393536063375,TRAIL,984.8295897161455
GMKN,2019-02-20 12:00:00,2019-02-21 15:00:00,141.55973160790697,140.10613468192724,SHORT,0.010268435164923213,TRAIL,987.6092792774093
MOEX,2019-02-20 12:00:00,2019-02-21 11:00:00,89.81996991839516,89.15036556946359,SHORT,0.007454960734677735,SL,985.5473659381643
ALRS,2019-02-20 14:00:00,2019-02-21 15:00:00,96.52110515005177,95.42742913922653,SHORT,0.011330952014328939,TRAIL,987.6092792774093
SBER,2019-02-21 06:00:00,2019-02-21 11:00:00,207.55,204.15233255224234,SHORT,0.016370356288883014,TRAIL,985.5473659381643
CHMF,2019-02-21 07:00:00,2019-02-21 13:00:00,1007.4,996.2309442170127,SHORT,0.011087011894964506,TRAIL,986.9812460034324
NVTK,2019-02-21 08:00:00,2019-02-21 15:00:00,1135.0160566785682,1121.6,SHORT,0.011820147036358367,SMART_CUT,987.6092792774093
ROSN,2019-02-21 09:00:00,2019-02-22 06:00:00,401.5029980932295,396.45,SHORT,0.012585206380093347,TRAIL,989.6029488097661
LKOH,2019-02-21 12:00:00,2019-02-22 10:00:00,5430.371110348129,5498.937894907006,LONG,0.012626537517521744,TRAIL,989.9374541237371
SNGSP,2019-02-21 14:00:00,2019-02-22 11:00:00,40.10025276570293,40.35678554610763,SHORT,-0.006397285870080735,SL,991.3120110105547
GLDRUB_TOM,2019-02-21 14:00:00,2019-02-21 20:00:00,2807.5,2794.0,LONG,-0.004808548530721282,SMART_CUT,987.6092792774093
PLZL,2019-02-22 10:00:00,2019-02-26 14:00:00,537.4456098102972,544.9402193675129,SHORT,-0.01394487073745199,SL,995.500660538189
TATN,2019-02-22 14:00:00,2019-02-25 14:00:00,797.7091196197089,785.9068423931778,SHORT,0.014795214115337582,TRAIL,992.0187546574564
NLMK,2019-02-22 15:00:00,2019-02-25 08:00:00,157.22629700250758,160.02809171264744,LONG,0.017820140546178313,TRAIL,989.7187252585862
ALRS,2019-02-25 07:00:00,2019-02-26 15:00:00,95.97121427809424,97.16895094564924,SHORT,-0.012480165813931911,SL,995.0773647049176
CNYRUB_TOM,2019-02-25 07:00:00,2019-02-25 15:00:00,9.743358115255049,9.7865,LONG,0.0044278250100860716,TRAIL,993.368210821283
LKOH,2019-02-25 09:00:00,2019-02-25 13:00:00,5577.482628073468,5522.681260175286,SHORT,0.009825466353287522,TRAIL,991.1485573501601
CHMF,2019-02-25 09:00:00,2019-02-25 15:00:00,1016.6899395078908,1029.8,LONG,0.012894846287605457,SMART_CUT,993.368210821283
MOEX,2019-02-25 10:00:00,2019-02-27 07:00:00,89.81007904643762,90.6523470831247,SHORT,-0.009378324188441773,SL,994.8694238935033
GMKN,2019-02-26 07:00:00,2019-02-26 15:00:00,146.06701961882305,144.14,SHORT,0.013192708551539036,TRAIL,995.0773647049176
SNGS,2019-02-26 07:00:00,2019-02-26 14:00:00,26.414471907390496,26.236241198841938,SHORT,0.006747464388969692,TRAIL,995.500660538189
NVTK,2019-02-26 07:00:00,2019-02-26 10:00:00,1122.0037634896016,1115.2,SHORT,0.006063939989328417,TRAIL,995.5666170271236
CNYRUB_TOM,2019-02-26 10:00:00,2019-02-26 12:00:00,9.808950113628267,9.8076,SHORT,0.00013764099242287976,SMART_CUT,995.7579769156439
MGNT,2019-02-26 12:00:00,2019-02-27 12:00:00,3889.816044966815,3823.063007784249,SHORT,0.017160975329139374,TRAIL,994.3186471459975
SBER,2019-02-26 14:00:00,2019-02-27 08:00:00,204.09790384153973,205.83,LONG,0.008486594550255978,SL,993.3895543509549
CNYRUB_TOM,2019-02-27 07:00:00,2019-02-27 12:00:00,9.8002,9.8445,LONG,0.004520315911920143,TRAIL,994.3186471459975
ROSN,2019-02-27 07:00:00,2019-02-28 11:00:00,400.4,396.35,SHORT,0.010114885114885001,SL,999.5425697994858
ALRS,2019-02-27 07:00:00,2019-02-28 06:00:00,97.4340203544182,96.15,SHORT,0.013178357515655612,SL,997.3499461894542
